"topic","term","beta"
1,"heard",0.0357142857142857
1,"accepting",0.0357142857142857
1,"american",0.0357142857142857
1,"called",0.0357142857142857
1,"carpets",0.0357142857142857
1,"eating",0.0357142857142857
1,"ellen",0.0357142857142857
1,"gig",0.0357142857142857
1,"idol",0.0357142857142857
1,"line",0.0357142857142857
1,"mats",0.0357142857142857
1,"picnic",0.0357142857142857
1,"promote",0.0357142857142857
1,"soft",0.0357142857142857
1,"sorrycouldntresist",0.0357142857142857
1,"bad",0.0357142857142857
1,"decision",0.0357142857142857
1,"depending",0.0357142857142857
1,"either",0.0357142857142857
1,"goes",0.0357142857142857
1,"good",0.0357142857142857
1,"it'll",0.0357142857142857
1,"la",0.0357142857142857
1,"notice",0.0357142857142857
1,"short",0.0357142857142857
1,"tomorrow",0.0357142857142857
1,"trip",0.0357142857142857
1,"whoa",0.0357142857142857
2,"reese",0.0769230769230769
2,"change",0.0384615384615385
2,"name",0.0384615384615385
2,"reallyshittyactress",0.0384615384615385
2,"witherspoon",0.0384615384615385
2,"two",0.0384615384615385
2,"gross",0.0384615384615385
2,"children",0.0384615384615385
2,"daniel",0.0384615384615385
2,"menaje",0.0384615384615385
2,"midgets",0.0384615384615385
2,"passed",0.0384615384615385
2,"radcliff",0.0384615384615385
2,"twat",0.0384615384615385
2,"addicted",0.0384615384615385
2,"coworker",0.0384615384615385
2,"frogs",0.0384615384615385
2,"just",0.0384615384615385
2,"love",0.0384615384615385
2,"said",0.0384615384615385
2,"chillin",0.0384615384615385
2,"full",0.0384615384615385
2,"rape",0.0384615384615385
2,"rapists",0.0384615384615385
2,"van",0.0384615384615385
3,"live",0.111111111111111
3,"1st",0.0555555555555556
3,"alright",0.0555555555555556
3,"always",0.0555555555555556
3,"area",0.0555555555555556
3,"can",0.0555555555555556
3,"dont",0.0555555555555556
3,"find",0.0555555555555556
3,"got",0.0555555555555556
3,"greater",0.0555555555555556
3,"job",0.0555555555555556
3,"l.a",0.0555555555555556
3,"oct",0.0555555555555556
3,"p",0.0555555555555556
3,"place",0.0555555555555556
3,"unlocked",0.0555555555555556
3,"various",0.0555555555555556
4,"movie",0.0588235294117647
4,"really",0.0588235294117647
4,"abusive",0.0588235294117647
4,"afraid",0.0588235294117647
4,"complement",0.0588235294117647
4,"donkey",0.0588235294117647
4,"girlfreind",0.0588235294117647
4,"punches",0.0588235294117647
4,"takes",0.0588235294117647
4,"taking",0.0588235294117647
4,"way",0.0588235294117647
4,"wrong",0.0588235294117647
4,"3way",0.0588235294117647
4,"generosity",0.0588235294117647
4,"gross",0.0588235294117647
4,"trust",0.0588235294117647
4,"patjtjtl",0.0588235294117647
5,"expensive",0.0869565217391304
5,"really",0.0869565217391304
5,"movie",0.0434782608695652
5,"two",0.0434782608695652
5,"amazing",0.0434782608695652
5,"convincing",0.0434782608695652
5,"glasses",0.0434782608695652
5,"look",0.0434782608695652
5,"master",0.0434782608695652
5,"people",0.0434782608695652
5,"ugly",0.0434782608695652
5,"yet",0.0434782608695652
5,"desperate",0.0434782608695652
5,"easy",0.0434782608695652
5,"hd",0.0434782608695652
5,"man",0.0434782608695652
5,"midgettes",0.0434782608695652
5,"one",0.0434782608695652
5,"shots",0.0434782608695652
5,"trailer",0.0434782608695652
5,"voice",0.0434782608695652
6,"movie",0.0909090909090909
6,"affleck",0.0454545454545454
6,"assholes",0.0454545454545454
6,"ben",0.0454545454545454
6,"damon",0.0454545454545454
6,"deal",0.0454545454545454
6,"get",0.0454545454545454
6,"heard",0.0454545454545454
6,"lamest",0.0454545454545454
6,"matt",0.0454545454545454
6,"new",0.0454545454545454
6,"traviswseale",0.0454545454545454
6,"two",0.0454545454545454
6,"got",0.0454545454545454
6,"right",0.0454545454545454
6,"amtrack",0.0454545454545454
6,"honestly",0.0454545454545454
6,"now",0.0454545454545454
6,"shantier",0.0454545454545454
6,"stations",0.0454545454545454
6,"think",0.0454545454545454
7,"angelina",0.0526315789473684
7,"brad",0.0526315789473684
7,"cuz",0.0526315789473684
7,"guhross",0.0526315789473684
7,"look",0.0526315789473684
7,"people",0.0526315789473684
7,"awesome",0.0526315789473684
7,"cool",0.0526315789473684
7,"driving",0.0526315789473684
7,"going",0.0526315789473684
7,"honk",0.0526315789473684
7,"im",0.0526315789473684
7,"lord",0.0526315789473684
7,"praise",0.0526315789473684
7,"right",0.0526315789473684
7,"schwinn",0.0526315789473684
7,"scooters",0.0526315789473684
7,"wicked",0.0526315789473684
7,"work",0.0526315789473684
8,"traviswseale",0.0588235294117647
8,"one",0.0588235294117647
8,"delicious",0.0588235294117647
8,"gettin",0.0588235294117647
8,"hotdogs",0.0588235294117647
8,"kosher",0.0588235294117647
8,"since",0.0588235294117647
8,"thing",0.0588235294117647
8,"what'll",0.0588235294117647
8,"write",0.0588235294117647
8,"boyle",0.0588235294117647
8,"every",0.0588235294117647
8,"kidding",0.0588235294117647
8,"sounds",0.0588235294117647
8,"spectacular",0.0588235294117647
8,"susan",0.0588235294117647
8,"world",0.0588235294117647
9,"arduous",0.0476190476190476
9,"expected",0.0476190476190476
9,"finding",0.0476190476190476
9,"glory",0.0476190476190476
9,"holes",0.0476190476190476
9,"maybe",0.0476190476190476
9,"offer",0.0476190476190476
9,"pay",0.0476190476190476
9,"proven",0.0476190476190476
9,"rent",0.0476190476190476
9,"roommates",0.0476190476190476
9,"rapists",0.0476190476190476
9,"asshole",0.0476190476190476
9,"bleached",0.0476190476190476
9,"feel",0.0476190476190476
9,"shack",0.0476190476190476
9,"should've",0.0476190476190476
9,"standing",0.0476190476190476
9,"station",0.0476190476190476
9,"train",0.0476190476190476
9,"vulnerable",0.0476190476190476
